folio,oa,siteNumber,siteName,status,phase,sku,partId,qty,usuariosXSP,usuariosFac
A10180885,343181,71325154,FUERZA DE VENTAS ELITE,Activo,Planeación,UNC.CUAD.BS.101,33626915,81,0,
A10180885,343181,71325154,FUERZA DE VENTAS ELITE,Activo,Planeación,UNC.CUAD.BS.103,33626917,6,0,
A10171413,293316,71655513,GAYOSSO COBRANZA NAUCALPAN,Activo,Planeación,UNC.CUAD60.BS.101,32280018,7,7,
A10171413,293316,71655513,GAYOSSO COBRANZA NAUCALPAN,Activo,Planeación,UNC.CUAD60.BS.201,32280022,3,0,
A10171413,293316,71655513,GAYOSSO COBRANZA NAUCALPAN,Activo,Planeación,UNC.CUAD60.BS.104,32280020,3,3,
A10171413,293316,71655513,GAYOSSO COBRANZA NAUCALPAN,Activo,Planeación,UNC.CUAD60.BS.902,32280055,2,0,
A10171413,293316,71655513,GAYOSSO COBRANZA NAUCALPAN,Activo,Planeación,UNC.CUAD60.BS.901,32280024,10,0,
A08171113,286556,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Planeación,UNC.CUAD60.BS.901,31991181,98,0,
A08170272,281797,71319117,MAUSELEO GAYOSSO TORREON,Activo,Implementación,UNC.CUAD60.BS.902,31832756,2,0,
A08170272,281797,71319117,MAUSELEO GAYOSSO TORREON,Activo,Implementación,UNC.CUAD60.BS.901,31832760,30,0,
A08170272,281797,71319117,MAUSELEO GAYOSSO TORREON,Activo,Implementación,UNC.CUAD60.BS.101,31832758,30,30,30
A06171821,278307,71319088,INTECSA,Activo,Planeación,UNC.CUAD60.BS.101,31697775,30,2,
A06171821,278307,71319088,INTECSA,Activo,Planeación,UNC.CUAD60.BS.901,31697777,30,0,
A06171821,278307,71319088,INTECSA,Activo,Planeación,UNC.CUAD60.BS.902,31697779,2,0,
A06171817,278298,71319088,INTECSA,Activo,Planeación,UNC.CUAD60.BS.902,31696295,2,0,
A06171817,278298,71319088,INTECSA,Activo,Planeación,UNC.CUAD60.BS.101,31696291,30,0,
A06171817,278298,71319088,INTECSA,Activo,Planeación,UNC.CUAD60.BS.901,31696293,30,0,
A04170037,265610,71613895,FUERZA DE VENTAS GUADALAJARA,Activo,Planeación,UNC.CUAD.BS.902,31228368,1,0,
A03170394,262845,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Planeación,UNC.CUAD.BS.101,31157260,5,5,
A02170102,258375,71613898,FUERZA DE VENTAS FELIX CUEVAS,Activo,Operativo,UNC.CUAD.BS.101,31065400,89,89,"88,1"
A02170102,258375,71613898,FUERZA DE VENTAS FELIX CUEVAS,Activo,Operativo,UNC.CUAD.BS.902,31065423,5,0,1
A02170102,258375,71613898,FUERZA DE VENTAS FELIX CUEVAS,Activo,Operativo,UNC.CUAD.BS.103,31065402,6,0,
A02170102,258375,71613898,FUERZA DE VENTAS FELIX CUEVAS,Activo,Operativo,UNC.CUAD.BS.901,31065446,95,0,"88,1"
A02170102,258375,71613898,FUERZA DE VENTAS FELIX CUEVAS,Activo,Operativo,UNC.CUAD.BS.201,31065404,3,0,
A02170099,258362,71613896,FUERZA DE VENTAS MONTERREY,Activo,Operativo,UNC.CUAD.BS.101,31065292,85,58,81
A02170099,258362,71613896,FUERZA DE VENTAS MONTERREY,Activo,Operativo,UNC.CUAD.BS.902,31065317,4,0,1
A02170099,258362,71613896,FUERZA DE VENTAS MONTERREY,Activo,Operativo,UNC.CUAD.BS.901,31065298,91,0,81
A02170099,258362,71613896,FUERZA DE VENTAS MONTERREY,Activo,Operativo,UNC.CUAD.BS.103,31065294,6,0,
A02170099,258362,71613896,FUERZA DE VENTAS MONTERREY,Activo,Operativo,UNC.CUAD.BS.201,31065296,3,0,
A02170098,258357,71613895,FUERZA DE VENTAS GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.103,31065230,6,3,5
A02170098,258357,71613895,FUERZA DE VENTAS GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.101,31065228,70,70,70
A02170098,258357,71613895,FUERZA DE VENTAS GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.901,31065234,76,0,75
A02170098,258357,71613895,FUERZA DE VENTAS GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.902,31065255,4,0,1
A02170098,258357,71613895,FUERZA DE VENTAS GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.201,31065232,3,0,
A12160104,251300,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.902,30752141,1,0,1
A12160063,251132,71405513,OFICINAS ADMINISTRATIVAS COLON,Activo,Planeación,UNC.CUAD.BS.101,30750744,15,0,
A12160063,251132,71405513,OFICINAS ADMINISTRATIVAS COLON,Activo,Planeación,UNC.CUAD.BS.103,30750746,3,0,
A12160063,251132,71405513,OFICINAS ADMINISTRATIVAS COLON,Activo,Planeación,UNC.CUAD.BS.201,30750748,3,0,
A12160063,251132,71405513,OFICINAS ADMINISTRATIVAS COLON,Activo,Planeación,UNC.CUAD.BS.901,30750753,18,0,
A12160063,251132,71405513,OFICINAS ADMINISTRATIVAS COLON,Activo,Planeación,UNC.CUAD.BS.902,30750790,2,0,
A12160062,251120,71319088,INTECSA,Activo,Operativo,UNC.CUAD.BS.201,30750613,3,0,
A12160062,251120,71319088,INTECSA,Activo,Operativo,UNC.CUAD.BS.901,30750616,6,0,5
A12160062,251120,71319088,INTECSA,Activo,Operativo,UNC.CUAD.BS.101,30750618,3,0,2
A12160062,251120,71319088,INTECSA,Activo,Operativo,UNC.CUAD.BS.103,30750620,3,3,3
A12160062,251120,71319088,INTECSA,Activo,Operativo,UNC.CUAD.BS.902,30750640,1,0,1
A12160060,251115,71319118,CAPILLAS ALLENDE,Activo,Planeación,UNC.CUAD.BS.101,30750480,14,0,
A12160060,251115,71319118,CAPILLAS ALLENDE,Activo,Planeación,UNC.CUAD.BS.103,30750482,3,0,
A12160060,251115,71319118,CAPILLAS ALLENDE,Activo,Planeación,UNC.CUAD.BS.201,30750485,3,0,
A12160060,251115,71319118,CAPILLAS ALLENDE,Activo,Planeación,UNC.CUAD.BS.901,30750487,17,0,
A12160060,251115,71319118,CAPILLAS ALLENDE,Activo,Planeación,UNC.CUAD.BS.902,30750507,2,0,
A12160059,251107,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.101,30750316,17,17,16
A12160059,251107,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.901,30750318,17,0,16
A12160028,250989,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Planeación,UNC.CUAD.BS.101,30748190,8,8,
A10160420,246679,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.902,30660835,4,0,4
A10160420,246679,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.101,30660807,83,77,83
A10160420,246679,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.103,30660811,6,4,2
A10160420,246679,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.901,30660813,89,0,85
A10160420,246679,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.201,30660809,3,0,
A09160065,241821,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Operativo,UNC.CUAD.BS.101,30548619,26,26,"13,9,3"
A09160065,241821,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Operativo,UNC.CUAD.BS.902,30548624,1,0,
A08160193,238669,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Planeación,UNC.CUAD.BS.101,30448797,1,1,
A07160354,236706,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Operativo,UNC.CUAD.BS.101,30417450,67,49,67
A07160354,236706,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Operativo,UNC.CUAD.BS.201,30417454,3,0,
A07160354,236706,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Operativo,UNC.CUAD.BS.902,30417487,4,0,
A07160354,236706,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Operativo,UNC.CUAD.BS.901,30417456,70,0,
A07160354,236706,71319085,OFICINAS ADMINISTRATIVAS REYNOSA,Activo,Operativo,UNC.CUAD.BS.103,30417452,3,3,2
A07160250,235908,71319086,OFICINAS ADMINISTRATIVAS IRAPUATO,Activo,Planeación,UNC.CUAD.BS.101,30381184,57,0,
A07160250,235908,71319086,OFICINAS ADMINISTRATIVAS IRAPUATO,Activo,Planeación,UNC.CUAD.BS.103,30381186,3,0,
A07160250,235908,71319086,OFICINAS ADMINISTRATIVAS IRAPUATO,Activo,Planeación,UNC.CUAD.BS.201,30381188,3,0,
A07160250,235908,71319086,OFICINAS ADMINISTRATIVAS IRAPUATO,Activo,Planeación,UNC.CUAD.BS.901,30381190,60,0,
A07160250,235908,71319086,OFICINAS ADMINISTRATIVAS IRAPUATO,Activo,Planeación,UNC.CUAD.BS.902,30381209,2,0,
A05160490,230453,71566324,GAYOSSO MEXICALI 2,Activo,Planeación,UNC.CUAD.BS.101,30240801,26,0,
A05160490,230453,71566324,GAYOSSO MEXICALI 2,Activo,Planeación,UNC.CUAD.BS.103,30240803,3,0,
A05160490,230453,71566324,GAYOSSO MEXICALI 2,Activo,Planeación,UNC.CUAD.BS.201,30240805,3,0,
A05160490,230453,71566324,GAYOSSO MEXICALI 2,Activo,Planeación,UNC.CUAD.BS.902,30240831,3,0,
A05160490,230453,71566324,GAYOSSO MEXICALI 2,Activo,Planeación,UNC.CUAD.BS.901,30240807,29,0,
A05160069,229167,71507616,AMERICAS,Activo,Planeación,UNC.CUAD.BS.901,30198382,220,0,
A05160069,229167,71507616,AMERICAS,Activo,Planeación,UNC.CUAD.BS.101,30198362,214,0,
A05160069,229167,71507616,AMERICAS,Activo,Planeación,UNC.CUAD.BS.103,30198378,6,0,
A05160069,229167,71507616,AMERICAS,Activo,Planeación,UNC.CUAD.BS.201,30198380,3,0,
A05160069,229167,71507616,AMERICAS,Activo,Planeación,UNC.CUAD.BS.902,30198419,13,0,
A05160071,229165,71319109,FUERZA DE VENTAS CENTRO CIVICO MEXICALI,Activo,Planeación,UNC.CUAD.BS.103,30198225,3,0,
A05160071,229165,71319109,FUERZA DE VENTAS CENTRO CIVICO MEXICALI,Activo,Planeación,UNC.CUAD.BS.901,30198231,29,0,
A05160071,229165,71319109,FUERZA DE VENTAS CENTRO CIVICO MEXICALI,Activo,Planeación,UNC.CUAD.BS.902,30198255,3,0,
A05160071,229165,71319109,FUERZA DE VENTAS CENTRO CIVICO MEXICALI,Activo,Planeación,UNC.CUAD.BS.101,30198227,26,0,
A05160071,229165,71319109,FUERZA DE VENTAS CENTRO CIVICO MEXICALI,Activo,Planeación,UNC.CUAD.BS.201,30198229,3,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.101,30198079,189,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.201,30198085,3,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.901,30198091,195,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.101,30198077,294,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.901,30198089,300,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.103,30198083,6,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.101,30198079,189,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.902,30198144,11,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.901,30198091,195,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.201,30198085,3,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.103,30198081,6,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.201,30198087,3,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.902,30198142,14,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.902,30198144,11,0,
A05160070,229162,71319076,OFICINAS ADMINISTRATIVAS SULLIVAN,Activo,Planeación,UNC.CUAD.BS.103,30198083,6,0,
A05160068,229156,71332386,TIEMPO Y VIDA REVOLUCION,Activo,Planeación,UNC.CUAD.BS.101,30198020,61,0,
A05160068,229156,71332386,TIEMPO Y VIDA REVOLUCION,Activo,Planeación,UNC.CUAD.BS.902,30198052,5,0,
A05160068,229156,71332386,TIEMPO Y VIDA REVOLUCION,Activo,Planeación,UNC.CUAD.BS.901,30198026,64,0,
A05160068,229156,71332386,TIEMPO Y VIDA REVOLUCION,Activo,Planeación,UNC.CUAD.BS.103,30198022,3,0,
A05160068,229156,71332386,TIEMPO Y VIDA REVOLUCION,Activo,Planeación,UNC.CUAD.BS.201,30198024,3,0,
A05160066,229155,71369052,FUERZA DE VENTAS DURANGO,Activo,Planeación,UNC.CUAD.BS.902,30197984,5,0,
A05160066,229155,71369052,FUERZA DE VENTAS DURANGO,Activo,Planeación,UNC.CUAD.BS.901,30197960,60,0,
A05160066,229155,71369052,FUERZA DE VENTAS DURANGO,Activo,Planeación,UNC.CUAD.BS.201,30197958,3,0,
A05160066,229155,71369052,FUERZA DE VENTAS DURANGO,Activo,Planeación,UNC.CUAD.BS.103,30197956,3,0,
A05160066,229155,71369052,FUERZA DE VENTAS DURANGO,Activo,Planeación,UNC.CUAD.BS.101,30197954,57,0,
A01190591,352357,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.104,33855900,1,0,
A08170315,284024,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.101,31906304,10,0,
A08170315,284024,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.202,31906310,2,0,
A08170315,284024,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.104,31906306,195,0,
A08170315,284024,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.901,31906312,205,0,
A08170315,284024,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.902,31906338,3,0,
A08170315,284024,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.201,31906308,3,0,
A08170315,284024,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.910,31906548,1,0,
V0000000663,318780,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.104,33060954,1,0,
V0000000663,318780,70051755,CORP SJDD ODG,Cancelado,Desconocido,UNC.CUAD.BS.901,33060956,1,0,
A06181151,324309,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.103,33190321,1,1,
A05182012,318384,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.102,33053360,1,1,1
A05182012,318384,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.103,33053362,1,1,1
A08170314,284023,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.104,31893433,1,1,
A07160010,234508,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.101,30353744,5,3,
A06160374,233349,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.101,30321708,5,5,2
A04160213,227677,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.101,30160985,8,8,"4,1,2,1,3"
A03160379,224348,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.102,29931713,3,3,2
A12150445,217758,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.103,29365472,5,5,3
A12150445,217758,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.205.1,29365474,21,0,
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.101,27809935,4,0,1
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.205,27809945,5,0,2
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.902,27809956,1,0,
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.901,27809947,53,0,
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.203,27809943,10,0,1
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.103,27809939,10,10,4
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.201,27809941,1,0,
A01150615,188386,71247427,KIDZANIA MONTERREY,Activo,Operativo,UNC.CUAD.BS.102,27809937,39,39,47
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.101,27809717,4,1,1
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.205,27809727,10,0,
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.902,27809738,1,0,
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.901,27809729,58,0,
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.203,27809725,15,0,
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.102,27809719,43,35,38
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.103,27809721,11,11,13
A05150038,188379,71369751,CUICUILCO,Activo,Operativo,UNC.CUAD.BS.201,27809723,1,0,
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.101,27809382,2,0,2
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.102,27809384,36,36,42
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.103,27809386,9,9,3
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.201,27809388,1,0,
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.203,27809390,20,0,1
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.205,27809392,10,0,1
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.901,27809394,47,0,
A01150614,188358,70163505,CENTRO COMERCIAL SANTA FE,Activo,Operativo,UNC.CUAD.BS.902,27809399,1,0,
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.902,27803146,1,0,
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.101,27803114,9,9,"3,3,1,2"
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.102,27803118,104,80,82
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.103,27803121,26,26,35
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.201,27803125,1,0,
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.901,27803133,139,0,"3,2"
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.205,27803131,25,0,17
A01150610,188313,71353088,JUAN SALVADOR AGRAZ,Activo,Operativo,UNC.CUAD.BS.203,27803129,50,0,14
A09190934,390758,71345737,BONDOJITO,Activo,Operativo,UNC.CUAD.BS.901,36201491,55,0,55
A09190367,389154,71345737,BONDOJITO,Activo,Operativo,UNC.CUAD.BS.102,36155703,52,52,52
A09190367,389154,71345737,BONDOJITO,Activo,Operativo,UNC.CUAD.BS.103,36155705,3,3,3
A09190367,389154,71345737,BONDOJITO,Activo,Operativo,UNC.CUAD.BS.902,36155707,1,0,1
A09190367,389154,71345737,BONDOJITO,Activo,Operativo,UNC.CUAD.BS.203,36155709,55,0,55
A09190367,389154,71345737,BONDOJITO,Activo,Operativo,UNC.CUAD.BS.201,36155711,1,0,1
A04195704,368601,71345738,GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.101,34983909,1,1,1
A08171047,286179,71345738,GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.101,31983319,49,36,37
A08171047,286179,71345738,GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.901,31983325,52,0,52
A08171047,286179,71345738,GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.201,31983321,1,0,1
A08171047,286179,71345738,GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.203,31983323,50,0,
A08171047,286179,71345738,GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.104,31983425,3,3,3
A08171047,286179,71345738,GUADALAJARA,Activo,Operativo,UNC.CUAD.BS.902,31983338,1,0,1
A09190903,390694,71828571,PARK PLAZA SANTA FE,Activo,Implementación,UNC.CUAD.BS.101,36200001,250,250,250
A09190903,390694,71828571,PARK PLAZA SANTA FE,Activo,Implementación,UNC.CUAD.BS.205,36200005,250,0,250
A09190903,390694,71828571,PARK PLAZA SANTA FE,Activo,Implementación,UNC.CUAD.BS.201,36200003,1,0,1
A09190425,389282,71828571,PARK PLAZA SANTA FE,Cancelado,Desconocido,UNC.CUAD.BS.101,36157170,250,0,
A09190425,389282,71828571,PARK PLAZA SANTA FE,Cancelado,Desconocido,UNC.CUAD.BS.201,36157174,1,0,
A09190425,389282,71828571,PARK PLAZA SANTA FE,Cancelado,Desconocido,UNC.CUAD.BS.205.1,36157172,250,0,
A08191749,386547,71827571,MONTERREY,Activo,Operativo,UNC.CUAD60.BS.102,36084295,15,15,15
A08191749,386547,71827571,MONTERREY,Activo,Operativo,UNC.CUAD60.BS.201,36084299,1,0,1
A08191749,386547,71827571,MONTERREY,Activo,Operativo,UNC.CUAD60.BS.901,36084301,18,0,18
A08191749,386547,71827571,MONTERREY,Activo,Operativo,UNC.CUAD60.BS.104,36084297,3,3,3
A08191749,386547,71827571,MONTERREY,Activo,Operativo,UNC.CUAD60.BS.902,36084311,1,0,1
A08191747,386545,71827566,SAN LUIS POTOSI,Activo,Implementación,UNC.CUAD60.BS.102,36084213,9,9,
A08191747,386545,71827566,SAN LUIS POTOSI,Activo,Implementación,UNC.CUAD60.BS.104,36084215,3,3,
A08191747,386545,71827566,SAN LUIS POTOSI,Activo,Implementación,UNC.CUAD60.BS.201,36084217,1,0,
A08191747,386545,71827566,SAN LUIS POTOSI,Activo,Implementación,UNC.CUAD60.BS.902,36084229,1,0,
A08191747,386545,71827566,SAN LUIS POTOSI,Activo,Implementación,UNC.CUAD60.BS.901,36084219,12,0,
A11190196,397648,71827566,SAN LUIS POTOSI,Activo,Planeación,UNC.CUAD60.BS.201,36686329,2,0,
A11190198,397651,71827571,MONTERREY,Activo,Planeación,UNC.CUAD60.BS.201,36686345,2,0,
A04199430,371114,70192553,LALA PLANTA MONTERREY,Activo,Operativo,UNC.CUAD60.BS.104,35170916,16,16,
A04190247,366475,70135998,LALA GOMEZ PALACIO LA HUERTA,Cancelado,Desconocido,UNC.CUAD.BS.104,34639712,5,5,
A04190227,366468,71707323,OFICINAS MONTERREY,Activo,Planeación,UNC.CUAD.BS.104,34637993,16,0,
A03193517,363150,71344054,CEDIS TLAHUAC,Activo,Operativo,UNC.CUAD60.BS.104,34454034,38,37,37
A03193517,363150,71344054,CEDIS TLAHUAC,Activo,Operativo,UNC.CUAD60.BS.201,34454036,3,0,2
A03193517,363150,71344054,CEDIS TLAHUAC,Activo,Operativo,UNC.CUAD60.BS.202,34454038,1,0,
