"folio","oa","siteNumber","clientName","siteName","phase","status","sku","partId","qty","usuariosXSP","usuariosFac"
"A10171413",293316,71655513,"GRUPO GAYOSSO","GAYOSSO COBRANZA NAUCALPAN","Planeación","Activo","UNC.CUAD60.BS.101",32280018,7,7,"[]"
"A10171413",293316,71655513,"GRUPO GAYOSSO","GAYOSSO COBRANZA NAUCALPAN","Planeación","Activo","UNC.CUAD60.BS.201",32280022,3,0,"[]"
"A10171413",293316,71655513,"GRUPO GAYOSSO","GAYOSSO COBRANZA NAUCALPAN","Planeación","Activo","UNC.CUAD60.BS.104",32280020,3,3,"[]"
"A10171413",293316,71655513,"GRUPO GAYOSSO","GAYOSSO COBRANZA NAUCALPAN","Planeación","Activo","UNC.CUAD60.BS.902",32280055,2,0,"[]"
"A10171413",293316,71655513,"GRUPO GAYOSSO","GAYOSSO COBRANZA NAUCALPAN","Planeación","Activo","UNC.CUAD60.BS.901",32280024,10,0,"[]"
"A08171113",286556,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Planeación","Activo","UNC.CUAD60.BS.901",31991181,98,0,"[]"
"A08170272",281797,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Implementación","Activo","UNC.CUAD60.BS.902",31832756,2,0,"[]"
"A08170272",281797,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Implementación","Activo","UNC.CUAD60.BS.901",31832760,30,0,"[]"
"A08170272",281797,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Implementación","Activo","UNC.CUAD60.BS.101",31832758,30,30,"[30]"
"A06171821",278307,71319088,"GRUPO GAYOSSO","INTECSA","Planeación","Activo","UNC.CUAD60.BS.101",31697775,30,2,"[]"
"A06171821",278307,71319088,"GRUPO GAYOSSO","INTECSA","Planeación","Activo","UNC.CUAD60.BS.901",31697777,30,0,"[]"
"A06171821",278307,71319088,"GRUPO GAYOSSO","INTECSA","Planeación","Activo","UNC.CUAD60.BS.902",31697779,2,0,"[]"
"A06171817",278298,71319088,"GRUPO GAYOSSO","INTECSA","Planeación","Activo","UNC.CUAD60.BS.902",31696295,2,0,"[]"
"A06171817",278298,71319088,"GRUPO GAYOSSO","INTECSA","Planeación","Activo","UNC.CUAD60.BS.101",31696291,30,0,"[]"
"A06171817",278298,71319088,"GRUPO GAYOSSO","INTECSA","Planeación","Activo","UNC.CUAD60.BS.901",31696293,30,0,"[]"
"A04170037",265610,71613895,"GRUPO GAYOSSO","FUERZA DE VENTAS GUADALAJARA","Planeación","Activo","UNC.CUAD.BS.902",31228368,1,0,"[]"
"A03170394",262845,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Planeación","Activo","UNC.CUAD.BS.101",31157260,5,5,"[]"
"A02170102",258375,71613898,"GRUPO GAYOSSO","FUERZA DE VENTAS FELIX CUEVAS","Operativo","Activo","UNC.CUAD.BS.101",31065400,89,88,"[88,1]"
"A02170102",258375,71613898,"GRUPO GAYOSSO","FUERZA DE VENTAS FELIX CUEVAS","Operativo","Activo","UNC.CUAD.BS.902",31065423,5,0,"[1]"
"A02170102",258375,71613898,"GRUPO GAYOSSO","FUERZA DE VENTAS FELIX CUEVAS","Operativo","Activo","UNC.CUAD.BS.103",31065402,6,1,"[]"
"A02170102",258375,71613898,"GRUPO GAYOSSO","FUERZA DE VENTAS FELIX CUEVAS","Operativo","Activo","UNC.CUAD.BS.901",31065446,95,0,"[88,1]"
"A02170102",258375,71613898,"GRUPO GAYOSSO","FUERZA DE VENTAS FELIX CUEVAS","Operativo","Activo","UNC.CUAD.BS.201",31065404,3,0,"[]"
"A02170099",258362,71613896,"GRUPO GAYOSSO","FUERZA DE VENTAS MONTERREY","Operativo","Activo","UNC.CUAD.BS.101",31065292,85,58,"[81]"
"A02170099",258362,71613896,"GRUPO GAYOSSO","FUERZA DE VENTAS MONTERREY","Operativo","Activo","UNC.CUAD.BS.902",31065317,4,0,"[1]"
"A02170099",258362,71613896,"GRUPO GAYOSSO","FUERZA DE VENTAS MONTERREY","Operativo","Activo","UNC.CUAD.BS.901",31065298,91,0,"[81]"
"A02170099",258362,71613896,"GRUPO GAYOSSO","FUERZA DE VENTAS MONTERREY","Operativo","Activo","UNC.CUAD.BS.103",31065294,6,0,"[]"
"A02170099",258362,71613896,"GRUPO GAYOSSO","FUERZA DE VENTAS MONTERREY","Operativo","Activo","UNC.CUAD.BS.201",31065296,3,0,"[]"
"A02170098",258357,71613895,"GRUPO GAYOSSO","FUERZA DE VENTAS GUADALAJARA","Operativo","Activo","UNC.CUAD.BS.103",31065230,6,3,"[5]"
"A02170098",258357,71613895,"GRUPO GAYOSSO","FUERZA DE VENTAS GUADALAJARA","Operativo","Activo","UNC.CUAD.BS.101",31065228,70,70,"[70]"
"A02170098",258357,71613895,"GRUPO GAYOSSO","FUERZA DE VENTAS GUADALAJARA","Operativo","Activo","UNC.CUAD.BS.901",31065234,76,0,"[75]"
"A02170098",258357,71613895,"GRUPO GAYOSSO","FUERZA DE VENTAS GUADALAJARA","Operativo","Activo","UNC.CUAD.BS.902",31065255,4,0,"[1]"
"A02170098",258357,71613895,"GRUPO GAYOSSO","FUERZA DE VENTAS GUADALAJARA","Operativo","Activo","UNC.CUAD.BS.201",31065232,3,0,"[]"
"A12160104",251300,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.902",30752141,1,0,"[1]"
"A12160063",251132,71405513,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS COLON","Planeación","Activo","UNC.CUAD.BS.101",30750744,15,0,"[]"
"A12160063",251132,71405513,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS COLON","Planeación","Activo","UNC.CUAD.BS.103",30750746,3,0,"[]"
"A12160063",251132,71405513,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS COLON","Planeación","Activo","UNC.CUAD.BS.201",30750748,3,0,"[]"
"A12160063",251132,71405513,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS COLON","Planeación","Activo","UNC.CUAD.BS.901",30750753,18,0,"[]"
"A12160063",251132,71405513,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS COLON","Planeación","Activo","UNC.CUAD.BS.902",30750790,2,0,"[]"
"A12160062",251120,71319088,"GRUPO GAYOSSO","INTECSA","Operativo","Activo","UNC.CUAD.BS.201",30750613,3,0,"[]"
"A12160062",251120,71319088,"GRUPO GAYOSSO","INTECSA","Operativo","Activo","UNC.CUAD.BS.901",30750616,6,0,"[5]"
"A12160062",251120,71319088,"GRUPO GAYOSSO","INTECSA","Operativo","Activo","UNC.CUAD.BS.101",30750618,3,0,"[2]"
"A12160062",251120,71319088,"GRUPO GAYOSSO","INTECSA","Operativo","Activo","UNC.CUAD.BS.103",30750620,3,3,"[3]"
"A12160062",251120,71319088,"GRUPO GAYOSSO","INTECSA","Operativo","Activo","UNC.CUAD.BS.902",30750640,1,0,"[1]"
"A12160060",251115,71319118,"GRUPO GAYOSSO","CAPILLAS ALLENDE","Planeación","Activo","UNC.CUAD.BS.101",30750480,14,0,"[]"
"A12160060",251115,71319118,"GRUPO GAYOSSO","CAPILLAS ALLENDE","Planeación","Activo","UNC.CUAD.BS.103",30750482,3,0,"[]"
"A12160060",251115,71319118,"GRUPO GAYOSSO","CAPILLAS ALLENDE","Planeación","Activo","UNC.CUAD.BS.201",30750485,3,0,"[]"
"A12160060",251115,71319118,"GRUPO GAYOSSO","CAPILLAS ALLENDE","Planeación","Activo","UNC.CUAD.BS.901",30750487,17,0,"[]"
"A12160060",251115,71319118,"GRUPO GAYOSSO","CAPILLAS ALLENDE","Planeación","Activo","UNC.CUAD.BS.902",30750507,2,0,"[]"
"A12160059",251107,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.101",30750316,17,17,"[16]"
"A12160059",251107,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.901",30750318,17,0,"[16]"
"A12160028",250989,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Planeación","Activo","UNC.CUAD.BS.101",30748190,8,8,"[]"
"A10160420",246679,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.902",30660835,4,0,"[4]"
"A10160420",246679,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.101",30660807,83,77,"[83]"
"A10160420",246679,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.103",30660811,6,5,"[2]"
"A10160420",246679,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.901",30660813,89,0,"[85]"
"A10160420",246679,71319117,"GRUPO GAYOSSO","MAUSELEO GAYOSSO TORREON","Operativo","Activo","UNC.CUAD.BS.201",30660809,3,0,"[]"
"A09160065",241821,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Operativo","Activo","UNC.CUAD.BS.101",30548619,26,26,"[13,9,3]"
"A09160065",241821,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Operativo","Activo","UNC.CUAD.BS.902",30548624,1,0,"[]"
"A08160193",238669,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Planeación","Activo","UNC.CUAD.BS.101",30448797,1,1,"[]"
"A07160354",236706,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Operativo","Activo","UNC.CUAD.BS.101",30417450,67,52,"[67]"
"A07160354",236706,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Operativo","Activo","UNC.CUAD.BS.201",30417454,3,0,"[]"
"A07160354",236706,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Operativo","Activo","UNC.CUAD.BS.902",30417487,4,0,"[]"
"A07160354",236706,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Operativo","Activo","UNC.CUAD.BS.901",30417456,70,0,"[]"
"A07160354",236706,71319085,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS REYNOSA","Operativo","Activo","UNC.CUAD.BS.103",30417452,3,3,"[2]"
"A07160250",235908,71319086,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS IRAPUATO","Planeación","Activo","UNC.CUAD.BS.101",30381184,57,0,"[]"
"A07160250",235908,71319086,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS IRAPUATO","Planeación","Activo","UNC.CUAD.BS.103",30381186,3,0,"[]"
"A07160250",235908,71319086,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS IRAPUATO","Planeación","Activo","UNC.CUAD.BS.201",30381188,3,0,"[]"
"A07160250",235908,71319086,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS IRAPUATO","Planeación","Activo","UNC.CUAD.BS.901",30381190,60,0,"[]"
"A07160250",235908,71319086,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS IRAPUATO","Planeación","Activo","UNC.CUAD.BS.902",30381209,2,0,"[]"
"A05160490",230453,71566324,"GRUPO GAYOSSO","GAYOSSO MEXICALI 2","Planeación","Activo","UNC.CUAD.BS.101",30240801,26,0,"[]"
"A05160490",230453,71566324,"GRUPO GAYOSSO","GAYOSSO MEXICALI 2","Planeación","Activo","UNC.CUAD.BS.103",30240803,3,0,"[]"
"A05160490",230453,71566324,"GRUPO GAYOSSO","GAYOSSO MEXICALI 2","Planeación","Activo","UNC.CUAD.BS.201",30240805,3,0,"[]"
"A05160490",230453,71566324,"GRUPO GAYOSSO","GAYOSSO MEXICALI 2","Planeación","Activo","UNC.CUAD.BS.902",30240831,3,0,"[]"
"A05160490",230453,71566324,"GRUPO GAYOSSO","GAYOSSO MEXICALI 2","Planeación","Activo","UNC.CUAD.BS.901",30240807,29,0,"[]"
"A05160069",229167,71507616,"GRUPO GAYOSSO","AMERICAS","Planeación","Activo","UNC.CUAD.BS.901",30198382,220,0,"[]"
"A05160069",229167,71507616,"GRUPO GAYOSSO","AMERICAS","Planeación","Activo","UNC.CUAD.BS.101",30198362,214,0,"[]"
"A05160069",229167,71507616,"GRUPO GAYOSSO","AMERICAS","Planeación","Activo","UNC.CUAD.BS.103",30198378,6,0,"[]"
"A05160069",229167,71507616,"GRUPO GAYOSSO","AMERICAS","Planeación","Activo","UNC.CUAD.BS.201",30198380,3,0,"[]"
"A05160069",229167,71507616,"GRUPO GAYOSSO","AMERICAS","Planeación","Activo","UNC.CUAD.BS.902",30198419,13,0,"[]"
"A05160071",229165,71319109,"GRUPO GAYOSSO","FUERZA DE VENTAS CENTRO CIVICO MEXICALI","Planeación","Activo","UNC.CUAD.BS.103",30198225,3,0,"[]"
"A05160071",229165,71319109,"GRUPO GAYOSSO","FUERZA DE VENTAS CENTRO CIVICO MEXICALI","Planeación","Activo","UNC.CUAD.BS.901",30198231,29,0,"[]"
"A05160071",229165,71319109,"GRUPO GAYOSSO","FUERZA DE VENTAS CENTRO CIVICO MEXICALI","Planeación","Activo","UNC.CUAD.BS.902",30198255,3,0,"[]"
"A05160071",229165,71319109,"GRUPO GAYOSSO","FUERZA DE VENTAS CENTRO CIVICO MEXICALI","Planeación","Activo","UNC.CUAD.BS.101",30198227,26,0,"[]"
"A05160071",229165,71319109,"GRUPO GAYOSSO","FUERZA DE VENTAS CENTRO CIVICO MEXICALI","Planeación","Activo","UNC.CUAD.BS.201",30198229,3,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.101",30198079,189,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.201",30198085,3,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.901",30198091,195,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.101",30198077,294,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.901",30198089,300,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.103",30198083,6,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.101",30198079,189,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.902",30198144,11,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.901",30198091,195,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.201",30198085,3,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.103",30198081,6,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.201",30198087,3,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.902",30198142,14,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.902",30198144,11,0,"[]"
"A05160070",229162,71319076,"GRUPO GAYOSSO","OFICINAS ADMINISTRATIVAS SULLIVAN","Planeación","Activo","UNC.CUAD.BS.103",30198083,6,0,"[]"
"A05160068",229156,71332386,"GRUPO GAYOSSO","TIEMPO Y VIDA REVOLUCION","Planeación","Activo","UNC.CUAD.BS.101",30198020,61,0,"[]"
"A05160068",229156,71332386,"GRUPO GAYOSSO","TIEMPO Y VIDA REVOLUCION","Planeación","Activo","UNC.CUAD.BS.902",30198052,5,0,"[]"
"A05160068",229156,71332386,"GRUPO GAYOSSO","TIEMPO Y VIDA REVOLUCION","Planeación","Activo","UNC.CUAD.BS.901",30198026,64,0,"[]"
"A05160068",229156,71332386,"GRUPO GAYOSSO","TIEMPO Y VIDA REVOLUCION","Planeación","Activo","UNC.CUAD.BS.103",30198022,3,0,"[]"
"A05160068",229156,71332386,"GRUPO GAYOSSO","TIEMPO Y VIDA REVOLUCION","Planeación","Activo","UNC.CUAD.BS.201",30198024,3,0,"[]"
"A05160066",229155,71369052,"GRUPO GAYOSSO","FUERZA DE VENTAS DURANGO","Planeación","Activo","UNC.CUAD.BS.902",30197984,5,0,"[]"
"A05160066",229155,71369052,"GRUPO GAYOSSO","FUERZA DE VENTAS DURANGO","Planeación","Activo","UNC.CUAD.BS.901",30197960,60,0,"[]"
"A05160066",229155,71369052,"GRUPO GAYOSSO","FUERZA DE VENTAS DURANGO","Planeación","Activo","UNC.CUAD.BS.201",30197958,3,0,"[]"
"A05160066",229155,71369052,"GRUPO GAYOSSO","FUERZA DE VENTAS DURANGO","Planeación","Activo","UNC.CUAD.BS.103",30197956,3,0,"[]"
"A05160066",229155,71369052,"GRUPO GAYOSSO","FUERZA DE VENTAS DURANGO","Planeación","Activo","UNC.CUAD.BS.101",30197954,57,0,"[]"
"A01190591",352357,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.104",33855900,1,0,"[]"
"A08170315",284024,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.101",31906304,10,0,"[]"
"A08170315",284024,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.202",31906310,2,0,"[]"
"A08170315",284024,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.104",31906306,195,0,"[]"
"A08170315",284024,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.901",31906312,205,0,"[]"
"A08170315",284024,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.902",31906338,3,0,"[]"
"A08170315",284024,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.201",31906308,3,0,"[]"
"A08170315",284024,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.910",31906548,1,0,"[]"
"V0000000663",318780,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.104",33060954,1,0,"[]"
"V0000000663",318780,70051755,"CAJA POPULAR MEXICANA","CORP SJDD ODG","Desconocido","Cancelado","UNC.CUAD.BS.901",33060956,1,0,"[]"
"A06181151",324309,70163505,"KIDZANIA DE MEXICO, S.A. DE C.V.","CENTRO COMERCIAL SANTA FE","Operativo","Cancelado","UNC.CUAD.BS.103",33190321,1,1,"[]"
"A05182012",318384,70163505,"KIDZANIA DE MEXICO, S.A. DE C.V.","CENTRO COMERCIAL SANTA FE","Operativo","Cancelado","UNC.CUAD.BS.102",33053360,1,1,"[1]"
"A05182012",318384,70163505,"KIDZANIA DE MEXICO, S.A. DE C.V.","CENTRO COMERCIAL SANTA FE","Operativo","Cancelado","UNC.CUAD.BS.103",33053362,1,1,"[1]"
"A08170314",284023,71353088,"KIDZANIA DE MEXICO, S.A. DE C.V.","JUAN SALVADOR AGRAZ","Operativo","Cancelado","UNC.CUAD.BS.104",31893433,1,1,"[]"
"A07160010",234508,70163505,"KIDZANIA DE MEXICO, S.A. DE C.V.","CENTRO COMERCIAL SANTA FE","Operativo","Cancelado","UNC.CUAD.BS.101",30353744,5,3,"[]"
"A06160374",233349,71353088,"KIDZANIA DE MEXICO, S.A. DE C.V.","JUAN SALVADOR AGRAZ","Operativo","Cancelado","UNC.CUAD.BS.101",30321708,5,5,"[2]"
"A04160213",227677,71353088,"KIDZANIA DE MEXICO, S.A. DE C.V.","JUAN SALVADOR AGRAZ","Operativo","Cancelado","UNC.CUAD.BS.101",30160985,8,8,"[4,1,2,1,3]"
"A03160379",224348,71353088,"KIDZANIA DE MEXICO, S.A. DE C.V.","JUAN SALVADOR AGRAZ","Operativo","Cancelado","UNC.CUAD.BS.102",29931713,3,3,"[2]"
"A12150445",217758,71353088,"KIDZANIA DE MEXICO, S.A. DE C.V.","JUAN SALVADOR AGRAZ","Operativo","Cancelado","UNC.CUAD.BS.103",29365472,5,5,"[3]"
"A12150445",217758,71353088,"KIDZANIA DE MEXICO, S.A. DE C.V.","JUAN SALVADOR AGRAZ","Operativo","Cancelado","UNC.CUAD.BS.205.1",29365474,21,0,"[]"
"A01150615",188386,71247427,"KIDZANIA DE MEXICO, S.A. DE C.V.","KIDZANIA MONTERREY","Operativo","Cancelado","UNC.CUAD.BS.101",27809935,4,0,"[1]"
"A01150615",188386,71247427,"KIDZANIA DE MEXICO, S.A. DE C.V.","KIDZANIA MONTERREY","Operativo","Cancelado","UNC.CUAD.BS.205",27809945,5,0,"[2]"
"A01150615",188386,71247427,"KIDZANIA DE MEXICO, S.A. DE C.V.","KIDZANIA MONTERREY","Operativo","Cancelado","UNC.CUAD.BS.902",27809956,1,0,"[]"
"A01150615",188386,71247427,"KIDZANIA DE MEXICO, S.A. DE C.V.","KIDZANIA MONTERREY","Operativo","Cancelado","UNC.CUAD.BS.901",27809947,53,0,"[]"
"A01150615",188386,71247427,"KIDZANIA DE MEXICO, S.A. DE C.V.","KIDZANIA MONTERREY","Operativo","Cancelado","UNC.CUAD.BS.203",27809943,10,0,"[1]"
"A01150615",188386,71247427,"KIDZANIA DE MEXICO, S.A. DE C.V.","KIDZANIA MONTERREY","Operativo","Cancelado","UNC.CUAD.BS.103",27809939,10,10,"[4]"
"A01150615",188386,71247427,"KIDZANIA DE MEXICO, S.A. DE C.V.","KIDZANIA MONTERREY","Operativo","Cancelado","UNC.CUAD.BS.201",27809941,1,0,"[]"
