"_id","groupId","serviceProviderId","services"
"AMX_2942996_HG153340@pbxcloud.mx","AMX_2942996","AMX_Ent_1369069","[""Call Forwarding Always""]"
"AMX_2942996_HG153346@pbxcloud.mx","AMX_2942996","AMX_Ent_1369069","[""Call Forwarding Always""]"
"AMX_2200337_HG147781@pbxcloud.mx","AMX_2200337","AMX_Ent_1382476","[""Call Forwarding Always"",""Call Forwarding Busy""]"
"AMX_2200337_HG147846@pbxcloud.mx","AMX_2200337","AMX_Ent_1382476","[""Call Forwarding Always"",""Call Forwarding Busy""]"
"AMX_2200337_HG147855@pbxcloud.mx","AMX_2200337","AMX_Ent_1382476","[""Call Forwarding Always"",""Call Forwarding Busy""]"
"AMX_1615035_HG149685@pbxcloud.mx","AMX_1615035","AMX_Ent_1388110","[""Selective Call Rejection""]"
"AMX_1621162_HG73878@pbxcloud.mx","AMX_1621162","AMX_Ent_1391245","[""Call Forwarding Always""]"
"AMX_1621162_HG73900@pbxcloud.mx","AMX_1621162","AMX_Ent_1391245","[""Call Forwarding Always""]"
"AMX_1621162_HG73907@pbxcloud.mx","AMX_1621162","AMX_Ent_1391245","[""Call Forwarding Always""]"
"AMX_1621162_HG73914@pbxcloud.mx","AMX_1621162","AMX_Ent_1391245","[""Call Forwarding Always""]"
"AMX_1637440_HG73975@pbxcloud.mx","AMX_1637440","AMX_Ent_1399592","[""Call Forwarding Always""]"
"AMX_1637440_HG73982@pbxcloud.mx","AMX_1637440","AMX_Ent_1399592","[""Call Forwarding Always""]"
"AMX_1750417_HG75459@pbxcloud.mx","AMX_1750417","AMX_Ent_1399592","[""Call Forwarding Always""]"
"AMX_2358980_HG148299@pbxcloud.mx","AMX_2358980","AMX_Ent_1405165","[""Call Forwarding Always""]"
"AMX_2358980_HG148308@pbxcloud.mx","AMX_2358980","AMX_Ent_1405165","[""Call Forwarding Always""]"
"AMX_2358980_HG148314@pbxcloud.mx","AMX_2358980","AMX_Ent_1405165","[""Call Forwarding Always""]"
"AMX_2360977_HG148320@pbxcloud.mx","AMX_2360977","AMX_Ent_1405165","[""Call Forwarding Always""]"
"AMX_2360977_HG148329@pbxcloud.mx","AMX_2360977","AMX_Ent_1405165","[""Call Forwarding Always""]"
"AMX_1663186_HG74191@pbxcloud.mx","AMX_1663186","AMX_Ent_1413253","[""Call Forwarding Always""]"
"AMX_1663186_HG74205@pbxcloud.mx","AMX_1663186","AMX_Ent_1413253","[""Call Forwarding Always""]"
"AMX_1663186_HG74233@pbxcloud.mx","AMX_1663186","AMX_Ent_1413253","[""Call Forwarding Always""]"
"AMX_1677347_HG74469@pbxcloud.mx","AMX_1677347","AMX_Ent_1416182","[""Call Forwarding Always""]"
"AMX_1677347_HG74476@pbxcloud.mx","AMX_1677347","AMX_Ent_1416182","[""Call Forwarding Always""]"
"AMX_2309200_HG147996@pbxcloud.mx","AMX_2309200","AMX_Ent_1416182","[""Call Forwarding Always""]"
"AMX_1696458_HG152949@pbxcloud.mx","AMX_1696458","AMX_Ent_1417891","[""Call Forwarding Always""]"
"AMX_1674217_HG74111@pbxcloud.mx","AMX_1674217","AMX_Ent_1419198","[""Call Forwarding Always""]"
"AMX_1955013_HG147111@pbxcloud.mx","AMX_1955013","AMX_Ent_1419198","[""Call Forwarding Always"",""Call Forwarding Busy""]"
"AMX_2876556_HG152011@pbxcloud.mx","AMX_2876556","AMX_Ent_1432517","[""Call Forwarding Always""]"
"AMX_2876556_HG152021@pbxcloud.mx","AMX_2876556","AMX_Ent_1432517","[""Call Forwarding Always""]"
"AMX_2876556_HG152031@pbxcloud.mx","AMX_2876556","AMX_Ent_1432517","[""Call Forwarding Always""]"
"AMX_1700398_HG74976@pbxcloud.mx","AMX_1700398","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1700398_HG74982@pbxcloud.mx","AMX_1700398","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1700398_HG74988@pbxcloud.mx","AMX_1700398","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1700398_HG74994@pbxcloud.mx","AMX_1700398","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1700398_HG75000@pbxcloud.mx","AMX_1700398","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1711523_HG75021@pbxcloud.mx","AMX_1711523","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1711523_HG75027@pbxcloud.mx","AMX_1711523","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1711523_HG75033@pbxcloud.mx","AMX_1711523","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1711523_HG75039@pbxcloud.mx","AMX_1711523","AMX_Ent_1433528","[""Call Forwarding Always""]"
"AMX_1701602_HG152375@pbxcloud.mx","AMX_1701602","AMX_Ent_1434516","[""Call Forwarding Always""]"
"AMX_1701602_HG152384@pbxcloud.mx","AMX_1701602","AMX_Ent_1434516","[""Call Forwarding Always""]"
"AMX_1835385_HG75733@pbxcloud.mx","AMX_1835385","AMX_Ent_1439143","[""Call Forwarding Always""]"
"AMX_1730469_HG75323@pbxcloud.mx","AMX_1730469","AMX_Ent_1443342","[""Call Forwarding Busy"",""Voice Messaging User""]"
"AMX_1730469_HG75330@pbxcloud.mx","AMX_1730469","AMX_Ent_1443342","[""Call Forwarding Always"",""Call Forwarding Busy"",""Voice Messaging User""]"
"AMX_1730469_HG75396@pbxcloud.mx","AMX_1730469","AMX_Ent_1443342","[""Call Forwarding Always"",""Voice Messaging User""]"
"AMX_1730469_HG75403@pbxcloud.mx","AMX_1730469","AMX_Ent_1443342","[""Call Forwarding Busy"",""Voice Messaging User""]"
"AMX_1730469_HG75410@pbxcloud.mx","AMX_1730469","AMX_Ent_1443342","[""Call Forwarding Busy"",""Voice Messaging User""]"
"AMX_1730469_HG75417@pbxcloud.mx","AMX_1730469","AMX_Ent_1443342","[""Call Forwarding Always"",""Call Forwarding Busy"",""Voice Messaging User""]"
"AMX_1731382_HG75349@pbxcloud.mx","AMX_1731382","AMX_Ent_1443342","[""Call Forwarding Always""]"
"AMX_1731382_HG75357@pbxcloud.mx","AMX_1731382","AMX_Ent_1443342","[""Call Forwarding Always""]"
"AMX_1731382_HG75363@pbxcloud.mx","AMX_1731382","AMX_Ent_1443342","[""Call Forwarding Always""]"
"AMX_1731382_HG75369@pbxcloud.mx","AMX_1731382","AMX_Ent_1443342","[""Call Forwarding Always""]"
"AMX_3277925_HG154701@pbxcloud.mx","AMX_3277925","AMX_Ent_1450911","[""Call Forwarding Always""]"
"AMX_3277925_HG154710@pbxcloud.mx","AMX_3277925","AMX_Ent_1450911","[""Call Forwarding Always""]"
"AMX_2176952_HG147877@pbxcloud.mx","AMX_2176952","AMX_Ent_1453754","[""Call Forwarding Always""]"
"AMX_2176952_HG147883@pbxcloud.mx","AMX_2176952","AMX_Ent_1453754","[""Call Forwarding Always""]"
"AMX_2176952_HG147890@pbxcloud.mx","AMX_2176952","AMX_Ent_1453754","[""Call Forwarding Always""]"
"AMX_2176995_HG148257@pbxcloud.mx","AMX_2176995","AMX_Ent_1453754","[""Call Forwarding Always""]"
"AMX_2177022_HG148264@pbxcloud.mx","AMX_2177022","AMX_Ent_1453754","[""Call Forwarding Always""]"
"AMX_2208468_HG148270@pbxcloud.mx","AMX_2208468","AMX_Ent_1453754","[""Call Forwarding Always""]"
"AMX_2263413_HG148250@pbxcloud.mx","AMX_2263413","AMX_Ent_1453754","[""Call Forwarding Always""]"
"AMX_1816927_HG75770@pbxcloud.mx","AMX_1816927","AMX_Ent_1469542","[""Call Forwarding Busy""]"
"AMX_1816927_HG75820@pbxcloud.mx","AMX_1816927","AMX_Ent_1469542","[""Call Forwarding Always""]"
"AMX_1816927_HG75834@pbxcloud.mx","AMX_1816927","AMX_Ent_1469542","[""Call Forwarding Always"",""Call Forwarding Busy""]"
"AMX_2656348_HG150449@pbxcloud.mx","AMX_2656348","AMX_Ent_1503488","[""Call Forwarding Busy""]"
"AMX_2632104_HG150250@pbxcloud.mx","AMX_2632104","AMX_Ent_1535910","[""Call Forwarding Always""]"
"AMX_3006558_HG153198@pbxcloud.mx","AMX_3006558","AMX_Ent_1581840","[""Call Forwarding Always""]"
"AMX_3006558_HG153207@pbxcloud.mx","AMX_3006558","AMX_Ent_1581840","[""Call Forwarding Always""]"
"AMX_2892698_HG152440@pbxcloud.mx","AMX_2892698","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2892698_HG152467@pbxcloud.mx","AMX_2892698","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2892698_HG152476@pbxcloud.mx","AMX_2892698","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2892698_HG152485@pbxcloud.mx","AMX_2892698","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2892698_HG152494@pbxcloud.mx","AMX_2892698","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2892698_HG152503@pbxcloud.mx","AMX_2892698","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2913606_HG152416@pbxcloud.mx","AMX_2913606","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2913606_HG152426@pbxcloud.mx","AMX_2913606","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2913606_HG152449@pbxcloud.mx","AMX_2913606","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_2913606_HG152458@pbxcloud.mx","AMX_2913606","AMX_Ent_1582377","[""Call Forwarding Always""]"
"AMX_3061023_HG154305@pbxcloud.mx","AMX_3061023","AMX_Ent_1635121","[""Call Forwarding Always""]"
"AMX_3061023_HG154311@pbxcloud.mx","AMX_3061023","AMX_Ent_1635121","[""Call Forwarding Always""]"
"AMX_3061023_HG154318@pbxcloud.mx","AMX_3061023","AMX_Ent_1635121","[""Call Forwarding Always""]"
"AMX_1994789_HG147243@pbxcloud.mx","AMX_1994789","AMX_Ent_1655484","[""Call Forwarding Always""]"
"AMX_2088642_HG147261@pbxcloud.mx","AMX_2088642","AMX_Ent_1685113","[""Call Forwarding Always""]"
"AMX_2088642_HG147270@pbxcloud.mx","AMX_2088642","AMX_Ent_1685113","[""Call Forwarding Always""]"
"AMX_2088642_HG147279@pbxcloud.mx","AMX_2088642","AMX_Ent_1685113","[""Call Forwarding Always"",""Call Forwarding Busy""]"
"AMX_2088642_HG147311@pbxcloud.mx","AMX_2088642","AMX_Ent_1685113","[""Call Forwarding Always""]"
"AMX_2088642_HG147317@pbxcloud.mx","AMX_2088642","AMX_Ent_1685113","[""Call Forwarding Always""]"
"AMX_2088642_HG147323@pbxcloud.mx","AMX_2088642","AMX_Ent_1685113","[""Call Forwarding Always""]"
"AMX_2088525_HG147403@pbxcloud.mx","AMX_2088525","AMX_Ent_1720207","[""Call Forwarding Always""]"
"AMX_2088525_HG148500@pbxcloud.mx","AMX_2088525","AMX_Ent_1720207","[""Call Forwarding Always""]"
"AMX_2431090_HG152110@pbxcloud.mx","AMX_2431090","AMX_Ent_1749201","[""Call Forwarding Always""]"
"AMX_2431090_HG152117@pbxcloud.mx","AMX_2431090","AMX_Ent_1749201","[""Call Forwarding Always""]"
"AMX_2431090_HG152123@pbxcloud.mx","AMX_2431090","AMX_Ent_1749201","[""Call Forwarding Always""]"
"AMX_2431090_HG152129@pbxcloud.mx","AMX_2431090","AMX_Ent_1749201","[""Call Forwarding Always""]"
"AMX_2431090_HG152136@pbxcloud.mx","AMX_2431090","AMX_Ent_1749201","[""Call Forwarding Always""]"
"AMX_2146250_HG147432@pbxcloud.mx","AMX_2146250","AMX_Ent_1751480","[""Call Forwarding Always""]"
"AMX_2146250_HG147441@pbxcloud.mx","AMX_2146250","AMX_Ent_1751480","[""Call Forwarding Always""]"
"AMX_2146250_HG147447@pbxcloud.mx","AMX_2146250","AMX_Ent_1751480","[""Call Forwarding Always""]"
"AMX_2137505_HG151704@pbxcloud.mx","AMX_2137505","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2137505_HG151710@pbxcloud.mx","AMX_2137505","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2137505_HG151716@pbxcloud.mx","AMX_2137505","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2137505_HG151722@pbxcloud.mx","AMX_2137505","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2137505_HG151729@pbxcloud.mx","AMX_2137505","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2165993_HG148996@pbxcloud.mx","AMX_2165993","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2165993_HG151756@pbxcloud.mx","AMX_2165993","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2165993_HG151768@pbxcloud.mx","AMX_2165993","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2165993_HG151775@pbxcloud.mx","AMX_2165993","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2165993_HG151782@pbxcloud.mx","AMX_2165993","AMX_Ent_1765558","[""Call Forwarding Always""]"
"AMX_2145349_HG147902@pbxcloud.mx","AMX_2145349","AMX_Ent_1772869","[""Call Forwarding Always""]"
"AMX_3007571_HG153693@pbxcloud.mx","AMX_3007571","AMX_Ent_1806258","[""Call Forwarding Busy""]"
"AMX_2220420_HG147742@pbxcloud.mx","AMX_2220420","AMX_Ent_1841802","[""Call Forwarding Always""]"
"AMX_2220420_HG147748@pbxcloud.mx","AMX_2220420","AMX_Ent_1841802","[""Call Forwarding Always""]"
"AMX_2220420_HG147755@pbxcloud.mx","AMX_2220420","AMX_Ent_1841802","[""Call Forwarding Always""]"
"AMX_2220420_HG147791@pbxcloud.mx","AMX_2220420","AMX_Ent_1841802","[""Call Forwarding Always""]"
"AMX_2284436_HG148044@pbxcloud.mx","AMX_2284436","AMX_Ent_1841802","[""Call Forwarding Always""]"
"AMX_2284436_HG148056@pbxcloud.mx","AMX_2284436","AMX_Ent_1841802","[""Call Forwarding Always""]"
"AMX_2284436_HG148062@pbxcloud.mx","AMX_2284436","AMX_Ent_1841802","[""Call Forwarding Always""]"
"AMX_2236515_HG148081@pbxcloud.mx","AMX_2236515","AMX_Ent_1854586","[""Call Forwarding Always""]"
"AMX_2236515_HG150838@pbxcloud.mx","AMX_2236515","AMX_Ent_1854586","[""Call Forwarding Always""]"
"AMX_2361091_HG148347@pbxcloud.mx","AMX_2361091","AMX_Ent_1932130","[""Call Forwarding Always""]"
"AMX_2361091_HG148356@pbxcloud.mx","AMX_2361091","AMX_Ent_1932130","[""Call Forwarding Always""]"
"AMX_2392450_HG148200@pbxcloud.mx","AMX_2392450","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2392450_HG148217@pbxcloud.mx","AMX_2392450","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2392450_HG148223@pbxcloud.mx","AMX_2392450","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2392450_HG148230@pbxcloud.mx","AMX_2392450","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2392450_HG148237@pbxcloud.mx","AMX_2392450","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2409326_HG148482@pbxcloud.mx","AMX_2409326","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2409326_HG148488@pbxcloud.mx","AMX_2409326","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2409326_HG148494@pbxcloud.mx","AMX_2409326","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2409326_HG148877@pbxcloud.mx","AMX_2409326","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2422558_HG148428@pbxcloud.mx","AMX_2422558","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2422558_HG148434@pbxcloud.mx","AMX_2422558","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2422558_HG148440@pbxcloud.mx","AMX_2422558","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2422558_HG148446@pbxcloud.mx","AMX_2422558","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2422558_HG148452@pbxcloud.mx","AMX_2422558","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2422558_HG148458@pbxcloud.mx","AMX_2422558","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424218_HG148507@pbxcloud.mx","AMX_2424218","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424218_HG148513@pbxcloud.mx","AMX_2424218","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424218_HG148519@pbxcloud.mx","AMX_2424218","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424218_HG148525@pbxcloud.mx","AMX_2424218","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424218_HG148531@pbxcloud.mx","AMX_2424218","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424218_HG148537@pbxcloud.mx","AMX_2424218","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424886_HG148623@pbxcloud.mx","AMX_2424886","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424886_HG148631@pbxcloud.mx","AMX_2424886","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2424886_HG148637@pbxcloud.mx","AMX_2424886","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425364_HG148543@pbxcloud.mx","AMX_2425364","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425364_HG148549@pbxcloud.mx","AMX_2425364","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425364_HG148558@pbxcloud.mx","AMX_2425364","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425652_HG148643@pbxcloud.mx","AMX_2425652","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425652_HG148649@pbxcloud.mx","AMX_2425652","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425652_HG148655@pbxcloud.mx","AMX_2425652","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425652_HG148661@pbxcloud.mx","AMX_2425652","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425652_HG148667@pbxcloud.mx","AMX_2425652","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425652_HG148673@pbxcloud.mx","AMX_2425652","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425754_HG148679@pbxcloud.mx","AMX_2425754","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425754_HG148685@pbxcloud.mx","AMX_2425754","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425754_HG148694@pbxcloud.mx","AMX_2425754","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425754_HG148700@pbxcloud.mx","AMX_2425754","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425754_HG148706@pbxcloud.mx","AMX_2425754","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425781_HG148713@pbxcloud.mx","AMX_2425781","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425781_HG148719@pbxcloud.mx","AMX_2425781","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425781_HG148727@pbxcloud.mx","AMX_2425781","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425781_HG148733@pbxcloud.mx","AMX_2425781","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425781_HG148739@pbxcloud.mx","AMX_2425781","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425781_HG148745@pbxcloud.mx","AMX_2425781","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2425781_HG148751@pbxcloud.mx","AMX_2425781","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2432574_HG148789@pbxcloud.mx","AMX_2432574","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2432574_HG148798@pbxcloud.mx","AMX_2432574","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2432574_HG148807@pbxcloud.mx","AMX_2432574","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2432574_HG148816@pbxcloud.mx","AMX_2432574","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2432574_HG148895@pbxcloud.mx","AMX_2432574","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2433054_HG148837@pbxcloud.mx","AMX_2433054","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2433054_HG148847@pbxcloud.mx","AMX_2433054","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2433054_HG148853@pbxcloud.mx","AMX_2433054","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2433054_HG148859@pbxcloud.mx","AMX_2433054","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2433054_HG148865@pbxcloud.mx","AMX_2433054","AMX_Ent_1952379","[""Call Forwarding Always""]"
"AMX_2417744_HG149030@pbxcloud.mx","AMX_2417744","AMX_Ent_1966829","[""Call Forwarding Always""]"
"AMX_2441189_HG154436@pbxcloud.mx","AMX_2441189","AMX_Ent_1980426","[""Call Forwarding Always""]"
"AMX_2449915_HG149046@pbxcloud.mx","AMX_2449915","AMX_Ent_1985273","[""Call Forwarding Always""]"
"AMX_2449915_HG149052@pbxcloud.mx","AMX_2449915","AMX_Ent_1985273","[""Call Forwarding Always""]"
"AMX_2449915_HG149058@pbxcloud.mx","AMX_2449915","AMX_Ent_1985273","[""Call Forwarding Always""]"
"AMX_2454187_HG150456@pbxcloud.mx","AMX_2454187","AMX_Ent_1987572","[""Call Forwarding Always""]"
"AMX_2454187_HG150465@pbxcloud.mx","AMX_2454187","AMX_Ent_1987572","[""Call Forwarding Always""]"
"AMX_2458129_HG149264@pbxcloud.mx","AMX_2458129","AMX_Ent_1989717","[""Call Forwarding Always""]"
"AMX_2458129_HG149274@pbxcloud.mx","AMX_2458129","AMX_Ent_1989717","[""Call Forwarding Always""]"
"AMX_2458129_HG149281@pbxcloud.mx","AMX_2458129","AMX_Ent_1989717","[""Call Forwarding Always""]"
"AMX_2458129_HG149288@pbxcloud.mx","AMX_2458129","AMX_Ent_1989717","[""Call Forwarding Always""]"
"AMX_2479305_HG149468@pbxcloud.mx","AMX_2479305","AMX_Ent_1989717","[""Call Forwarding Always""]"
"AMX_2479305_HG149478@pbxcloud.mx","AMX_2479305","AMX_Ent_1989717","[""Call Forwarding Always""]"
"AMX_2479305_HG149487@pbxcloud.mx","AMX_2479305","AMX_Ent_1989717","[""Call Forwarding Always""]"
"AMX_2476001_HG149376@pbxcloud.mx","AMX_2476001","AMX_Ent_1999120","[""Call Forwarding Always""]"
"AMX_2494114_HG149423@pbxcloud.mx","AMX_2494114","AMX_Ent_2000508","[""Call Forwarding Always""]"
"AMX_2748398_HG151672@pbxcloud.mx","AMX_2748398","AMX_Ent_2042115","[""Call Forwarding Always""]"
"AMX_2748398_HG151680@pbxcloud.mx","AMX_2748398","AMX_Ent_2042115","[""Call Forwarding Always""]"
"AMX_2748398_HG151687@pbxcloud.mx","AMX_2748398","AMX_Ent_2042115","[""Call Forwarding Always""]"
"AMX_2585398_HG150163@pbxcloud.mx","AMX_2585398","AMX_Ent_2055947","[""Call Forwarding Always""]"
"AMX_2585398_HG150171@pbxcloud.mx","AMX_2585398","AMX_Ent_2055947","[""Call Forwarding Always""]"
"AMX_2597971_HG149996@pbxcloud.mx","AMX_2597971","AMX_Ent_2062570","[""Call Forwarding Always"",""Call Forwarding Busy""]"
"AMX_2599176_HG150039@pbxcloud.mx","AMX_2599176","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2599176_HG150139@pbxcloud.mx","AMX_2599176","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2599176_HG151827@pbxcloud.mx","AMX_2599176","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2644753_HG150396@pbxcloud.mx","AMX_2644753","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2644753_HG150515@pbxcloud.mx","AMX_2644753","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2644753_HG150954@pbxcloud.mx","AMX_2644753","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2644753_HG151317@pbxcloud.mx","AMX_2644753","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2644753_HG151404@pbxcloud.mx","AMX_2644753","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2679359_HG150562@pbxcloud.mx","AMX_2679359","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2679359_HG151386@pbxcloud.mx","AMX_2679359","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2679359_HG151392@pbxcloud.mx","AMX_2679359","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2679359_HG151398@pbxcloud.mx","AMX_2679359","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2679359_HG151541@pbxcloud.mx","AMX_2679359","AMX_Ent_2063322","[""Call Forwarding Always""]"
"AMX_2602176_HG151329@pbxcloud.mx","AMX_2602176","AMX_Ent_2065070","[""Call Forwarding Always""]"
"AMX_2602176_HG151338@pbxcloud.mx","AMX_2602176","AMX_Ent_2065070","[""Call Forwarding Always""]"
"AMX_2602176_HG151347@pbxcloud.mx","AMX_2602176","AMX_Ent_2065070","[""Call Forwarding Always""]"
"AMX_2602176_HG151356@pbxcloud.mx","AMX_2602176","AMX_Ent_2065070","[""Call Forwarding Always""]"
"AMX_2602176_HG151365@pbxcloud.mx","AMX_2602176","AMX_Ent_2065070","[""Call Forwarding Always""]"
"AMX_2602176_HG151375@pbxcloud.mx","AMX_2602176","AMX_Ent_2065070","[""Call Forwarding Always""]"
